,Tweets,date,source,likes,retweet,image_url
422,"Message from @ TWCChrisBruin and @ DrRickKnabb: ""This hurricane means serious business"". We're LIVE now- tune in for the latest.pic.twitter.com/yQfuT13unL",1536712506,https://twitter.com/weatherchannel/status/1039673723123654656,392,218,
423,Tune in for the latest with our LIVE coverage 24/7 throughout the storm.,1536710623,https://twitter.com/weatherchannel/status/1039665826260021250,67,21,
424,"Hurricane alerts are in effect where direct landfalling impacts are likely to be the worst. Currently, this includes most of the North Carolina coastline and neighboring counties.pic.twitter.com/UZCkhjKWlJ",1536710622,https://twitter.com/weatherchannel/status/1039665822388703232,160,126,https://pbs.twimg.com/media/Dm2iVGVV4AAq8Y9.jpg
425,Latest 8 pm Advisory: The current forecast cone from the National Hurricane Center takes # Florence into the Carolina coastline as a major # hurricane overnight Thursday into Friday.pic.twitter.com/0fK4erbvPJ,1536710622,https://twitter.com/weatherchannel/status/1039665819528192000,292,221,https://pbs.twimg.com/media/Dm2h5n3UwAA8zYX.jpg
426,"# Hurricane, # tropical storm and storm surge watches and warnings now cover areas from southeastern Virginia to North Carolina and South Carolina. Everything you need to know about # Florence can be found here: https://wxch.nl/2oZLxqE pic.twitter.com/UUHB7bXmeE",1536704419,https://twitter.com/weatherchannel/status/1039639805615849476,219,177,https://pbs.twimg.com/media/Dm2KQPkWwAAGhuz.jpg
427,". @ comcast opened 127,000 @ Xfinity WiFi Hotspots in Charleston, Savannah, Augusta, MD, VA, DC, & parts of DE & WV to non-customers & emergency personnel to help them stay connected for free during # HurricaneFlorence. Go to http://Xfinity.com/wifi to find a hotspot. @ comcastcarespic.twitter.com/lbeMEjWles",1536700840,https://twitter.com/weatherchannel/status/1039624794017329152,317,208,https://pbs.twimg.com/media/Dm18sdfW4AUuPRe.jpg
428,New with Hurricane # Florence: A storm surge warning has been issued for eastern North Carolina and northern coastal South Carolina. Life-threatening inundation from rising water from the coastline is expected in this area within 36 hours.pic.twitter.com/nCaAEpqOzL,1536700580,https://twitter.com/weatherchannel/status/1039623702705528837,130,101,https://pbs.twimg.com/media/Dm18JUrXcAADe7Q.jpg
429,# Hurricane Warnings have been issued for parts of North Carolina and South Carolina ahead of Cat 4 # Hurricane # Florence. Our LIVE 24/7 team coverage continues with the latest forecast track and evacuations.pic.twitter.com/fk02XU6Vfc,1536700376,https://twitter.com/weatherchannel/status/1039622848309088257,188,131,
430,New with Hurricane # Florence: A hurricane warning has been issued for parts of eastern North Carolina and coastal South Carolina.pic.twitter.com/xjaQIqCNYk,1536700266,https://twitter.com/weatherchannel/status/1039622385694109696,162,147,https://pbs.twimg.com/media/Dm17CARWsAAQXgl.jpg
431,Tropical storm warnings are now in effect for all of the Hawaiian islands ahead of Tropical Storm # Olivia's pass through the islands late tonight into Wednesday. More: https://wxch.nl/2CvmOEw pic.twitter.com/Jrgs6ESUfm,1536700096,https://twitter.com/weatherchannel/status/1039621669919305728,78,48,https://pbs.twimg.com/media/Dm16AO0W4AQjaZH.jpg
432,Check out the link below. We hope this helps! http://facebook.com/AMHQonTWC/videos/302234027245187/ …,1536693167,https://twitter.com/weatherchannel/status/1039592609315016704,0,0,
433,"# Florence is expected to stall or move erratically near or after landfall into the weekend, with torrential rainfall leading to potentially disastrous # flooding. Our latest forecast update: https://wxch.nl/2x2a0Aj pic.twitter.com/uG2p3E8TaI",1536692367,https://twitter.com/weatherchannel/status/1039589252923895809,254,217,https://pbs.twimg.com/media/Dm1c2OdV4AEz3oX.jpg
434,There is a high chance of # tropical development in the Gulf of Mexico later this week: https://wxch.nl/2CRXJU6 pic.twitter.com/t7dPXwRymq,1536690420,https://twitter.com/weatherchannel/status/1039581086890618880,233,180,https://pbs.twimg.com/media/Dm1QxxKXgAA1Jk8.jpg
435,"# Hurricane # Florence is a dangerous Cat 4 hurricane, likely making landfall along the Carolina coast sometime late Thursday/Friday. @ TWCAlexWallace is LIVE in Fayetteville, NC, @ mikeseidel is in Wrightsville Beach and @ LianaBrackett is in studio as our coverage continues.pic.twitter.com/WXTGQ7ZaG1",1536690076,https://twitter.com/weatherchannel/status/1039579645228793857,191,122,
436,"# Hurricane, # tropical storm watches issued in the Lesser Antilles ahead of # Isaac. https://wxch.nl/2CLPh9c pic.twitter.com/AdVgsw3f9b",1536680115,https://twitter.com/weatherchannel/status/1039537866546864130,80,68,https://pbs.twimg.com/media/Dm0uKq3V4AAGCb_.jpg
437,"11:00 AM Update: # Hurricane # Florence is still a Cat 4 hurricane w/ 130 mph sustained winds as it approaches the East Coast. Catastrophic flooding & wind damage is possible. @ TevinWooten is LIVE in Virginia Beach, w/ @ kellycass and @ GregPostel in studio. 24/7 coverage continues.pic.twitter.com/SWYaeTuEvZ",1536679109,https://twitter.com/weatherchannel/status/1039533647165054976,204,125,
438,# Florence may be the strongest U.S. landfall on record so far north: https://wxch.nl/2NEoCPA pic.twitter.com/foi0sfTEsa,1536673740,https://twitter.com/weatherchannel/status/1039511126407405570,377,258,https://pbs.twimg.com/media/Dm0RRBsU8AE0iIW.jpg
439,Tropical Storm # Olivia will track through Hawaii Tuesday-Wednesday with heavy rainfall and strong winds: https://wxch.nl/2N1itO5 pic.twitter.com/7wQVLnZmIP,1536670380,https://twitter.com/weatherchannel/status/1039497033189482497,97,67,https://pbs.twimg.com/media/Dm0ESN3X0AAJdYm.jpg
440,"Invest # 95L may develop into a # tropical depression late this week in the Gulf of Mexico, soaking parts of Texas and Louisiana. https://wxch.nl/2O7MZSR pic.twitter.com/O5yUN7Nyto",1536667440,https://twitter.com/weatherchannel/status/1039484702246096898,164,124,https://pbs.twimg.com/media/Dmz5ZLzUYAEXovk.jpg
441,"Super # Typhoon # Mangkhut poses a potential danger to the northern Philippines, # Taiwan and southeast # China (including Hong Kong) this weekend. https://wxch.nl/2x4g6Qz (Image: CIRA/RAMMB via JMA)pic.twitter.com/6thZrnyKog",1536666065,https://twitter.com/weatherchannel/status/1039478936051359744,80,59,https://pbs.twimg.com/media/Dmz4cF2V4AEFNRt.jpg
442,Tropical Storm # Isaac will likely bring heavy rainfall and strong winds to parts of the Lesser Antilles late this week: https://wxch.nl/2QlhExq pic.twitter.com/HP6oDejTdv,1536664980,https://twitter.com/weatherchannel/status/1039474384266821632,97,75,https://pbs.twimg.com/media/DmzvsD6XgAA7nwV.jpg
443,The critical forecast details you need to know about # Hurricane # Florence: https://wxch.nl/2oXVIMo pic.twitter.com/gdek61FC54,1536660659,https://twitter.com/weatherchannel/status/1039456262004596736,238,196,https://pbs.twimg.com/media/Dmzjo89X0AAHK7k.jpg
444,"BREAKING: # Hurricane & storm surge watch issued from Edisto Beach, SC to NC/VA border, including Charleston, Myrtle Beach and the Outer Banks. # Florencepic.twitter.com/KBR6PlPPFL",1536656943,https://twitter.com/weatherchannel/status/1039440675329265664,170,150,https://pbs.twimg.com/media/DmzVu1EX4AAv63D.jpg
445,"Stay tuned to The Weather Channel all week long as our team of over a dozen field reporters, plus expert analysis from the studio, keep you informed, weather-wise and safe. # Florencepic.twitter.com/7pDiEUY4zW",1536638760,https://twitter.com/weatherchannel/status/1039364409179566080,467,128,https://pbs.twimg.com/media/DmyEzZ-W4AAitoX.jpg
446,"Destructive winds and life-threatening storm surge aside, Hurricane # Florence will also produce massive inland rainfall # flooding into next week: https://wxch.nl/2x2jhIx pic.twitter.com/svvWzx3KPW",1536636959,https://twitter.com/weatherchannel/status/1039356854885867520,158,180,https://pbs.twimg.com/media/DmyJMnnW0AEJADN.jpg
447,Torrential rainfall is expected in the days following landfall. Inland locations throughout the Mid-Atlantic could see a foot or more of rain through Saturday. # Florencepic.twitter.com/hzXy3EufaQ,1536636840,https://twitter.com/weatherchannel/status/1039356356795482112,246,206,https://pbs.twimg.com/media/DmyEdAOXcAANKLU.jpg
448,# Florence remains a strong category 4 hurricane with sustained winds of 140 MPH and a minimum central pressure of 944mb. The National Hurricane Center has # Florence making landfall overnight Thursday into Friday as a major hurricane somewhere along the Carolina coastline.pic.twitter.com/82zfukPBpo,1536635588,https://twitter.com/weatherchannel/status/1039351106361421830,349,313,https://pbs.twimg.com/media/DmyEBKeWsAAsSAL.jpg
449,Tropical storm warnings have been issued for Honolulu/the Island of Oahu and tropical storm watches have been issued for Kauai and Niihau ahead of # Olivia.pic.twitter.com/hHK4VOMFZ3,1536634743,https://twitter.com/weatherchannel/status/1039347560681484289,152,90,https://pbs.twimg.com/media/DmyA9c0U0AAMMga.jpg
450,"Expect a storm surge of 15 to 20 feet in a landfalling Category 4 # hurricane in the Carolinas, says research by Dr. Jeff Masters of @ wunderground: https://wxch.nl/2N1ciJK pic.twitter.com/AS9kEQlQrv",1536630305,https://twitter.com/weatherchannel/status/1039328946817585152,399,401,https://pbs.twimg.com/media/DmxviiSX0AIU8y2.jpg
451,Hurricane # Florence is expected to slam into the southeastern U.S. coast on Thursday as a major # hurricane (Category 3 or stronger). This could be one of the strongest strikes on record for this part of the East Coast: https://wxch.nl/2Qkq34o pic.twitter.com/RLMgoEjehz,1536618221,https://twitter.com/weatherchannel/status/1039278265276555264,446,333,https://pbs.twimg.com/media/DmxCEaGXgAIIaqW.jpg
452,"It could change, but the current plan is for him to head to Wrightsville Beach.",1536616304,https://twitter.com/weatherchannel/status/1039270221322887174,22,11,
453,We'll be bringing you the latest on # Florence all week long. Please stay safe and take the advice of your local officials if you are in the areas expected to be impacted.pic.twitter.com/EEgNsGRmH9,1536615479,https://twitter.com/weatherchannel/status/1039266761420496896,101,30,https://pbs.twimg.com/media/Dmw2g_hX0AItr5T.jpg
454,"# Hurricane # Florence remains a powerful category 4 hurricane, with maximum sustained winds at 140 mph as it continues its path toward the East Coast. Our LIVE 24/7 coverage continues with the latest forecast and evacuations.pic.twitter.com/hjOf7sjxk4",1536614093,https://twitter.com/weatherchannel/status/1039260948555620352,362,223,
